name,position,team,player_id,value,overallRank,positionRank,trend30Day
Tyson Bagent,QB,CHI,11408,229,286,50,166
Tyler Conklin,TE,LAC,6147,219,287,46,106
Isaiah Davis,RB,NYJ,11767,213,288,83,-240
Jimmy Garoppolo,QB,LAR,2899,210,289,51,-303
Darius Slayton,WR,NYG,6028,208,290,110,-141
Jeremy McNichols,RB,WAS,4220,205,291,84,205
Riley Leonard,QB,IND,12613,199,292,52,7
Tai Felton,WR,MIN,12604,197,293,111,-191
Jermaine Burton,WR,CIN,11698,184,294,112,-132
Raheem Mostert,RB,LV,6259,177,295,85,-63
Trey Lance,QB,LAC,4875,173,296,53,-34
Zach Wilson,QB,MIA,6731,173,297,54,38
KaVontae Turpin,WR,DAL,4302,170,298,113,122
Jahan Dotson,WR,PHI,7169,170,299,114,10
Raheim Sanders,RB,LAC,12641,164,300,86,-36
Ja'Lynn Polk,WR,NE,11700,164,301,115,-95
Antonio Gibson,RB,NE,7587,163,302,87,-14
A.J. Dillon,RB,PHI,3368,159,303,88,-108
Tez Johnson,WR,TB,12667,156,304,116,-7
Zamir White,RB,LV,3171,153,305,89,31
Kalel Mullings,RB,TEN,12658,149,306,90,-39
Olamide Zaccheaus,WR,CHI,205,149,307,117,71
Sam Howell,QB,MIN,8210,146,308,55,-38
Emanuel Wilson,RB,GB,11422,146,309,91,-146
Jimmy Horn,WR,CAR,12600,145,310,118,-106
Taysom Hill,TE,NO,6915,145,311,47,22
Elijah Moore,WR,BUF,4250,145,312,119,-161
Mason Rudolph,QB,PIT,4357,143,313,56,-41
Will Levis,QB,TEN,9901,143,314,57,-25
Arian Smith,WR,NYJ,12704,140,315,120,-114
Deshaun Watson,QB,CLE,3568,138,316,58,-31
Phil Mafah,RB,DAL,13156,137,317,92,-74
Jalen Tolbert,WR,DAL,2144,134,318,121,-112
Cooper Rush,QB,BAL,157,132,319,59,-48
Tanner McKee,QB,PHI,9940,130,320,60,-28
Kenny Pickett,QB,CLE,5730,130,321,61,-135
Jaleel McLaughlin,RB,DEN,11676,129,322,93,-102
Ray-Ray McCloud,WR,ATL,6900,128,323,122,22
Mitchell Evans,TE,CAR,12614,123,324,48,123
Jordan Watkins,WR,SF,13211,118,325,123,43
Xavier Hutchinson,WR,HOU,9854,116,326,124,116
Kendrick Bourne,WR,NE,1449,115,327,125,100
Brandin Cooks,WR,NO,7088,115,328,126,22
Dawson Knox,TE,BUF,1787,114,329,49,45
Will Dissly,TE,LAC,8420,112,330,50,27
Cade Stover,TE,HOU,11695,109,331,51,-24
Devontez Walker,WR,BAL,11777,108,332,127,29
Luke McCaffrey,WR,WAS,11788,107,333,128,-234
Damien Martinez,RB,SEA,12633,105,334,94,-74
Gabe Davis,WR,,8112,101,335,129,-22
Konata Mumpfield,WR,LAR,12826,99,336,130,-36
Nick Nash,WR,ATL,12621,99,337,131,-12
Curtis Samuel,WR,BUF,3438,96,338,132,-6
Cam Akers,RB,NO,2937,93,339,95,16
Thomas Fidone,TE,NYG,13060,89,340,52,43
Gardner Minshew,QB,KC,7783,89,341,62,-29
Nick Westbrook-Ikhine,WR,MIA,4872,88,342,133,-71
Julius Chestnut,RB,TEN,7607,85,343,96,85
Jacob Cowing,WR,SF,11778,84,344,134,-106
Luke Schoonmaker,TE,DAL,11006,84,345,53,-15
Derek Carr,QB,,1954,82,346,63,31
John Metchie,WR,HOU,3812,78,347,135,-117
Erick All,TE,CIN,11761,78,348,54,-33
Devin Singletary,RB,NYG,8347,77,349,97,-36
Andy Dalton,QB,CAR,2030,75,350,64,-44
Jamari Thrash,WR,CLE,11755,70,351,136,35
Chris Brooks,RB,GB,11653,65,352,98,65
Jalin Hyatt,WR,NYG,9851,61,353,137,-31
Noah Brown,WR,WAS,1230,57,354,138,1
Javon Baker,WR,NE,11782,56,355,139,-19
Mitchell Tinsley,WR,CIN,11094,55,356,140,28
Drew Lock,QB,SEA,3577,54,357,65,5
Demarcus Robinson,WR,SF,448,54,358,141,-30
Jacoby Brissett,QB,ARI,2042,53,359,66,53
Skyy Moore,WR,KC,1622,52,360,142,-3
Aidan O'Connell,QB,LV,11015,50,361,67,-72
Mack Hollins,WR,NE,3596,49,362,143,49
Samaje Perine,RB,CIN,3463,47,363,99,-20
Tutu Atwell,WR,LAR,8432,44,364,144,-125
Teddy Bridgewater,QB,TB,1249,43,365,68,43
George Holani,RB,SEA,12166,42,366,100,35
Mitchell Trubisky,QB,BUF,3691,42,367,69,42
Jarrett Stidham,QB,DEN,7992,37,368,70,37
Tahj Washington,WR,MIA,11936,36,369,145,36
Greg Dortch,WR,ARI,938,35,370,146,35
Foster Moreau,TE,NO,8342,31,371,55,31
Austin Hooper,TE,NE,2338,31,372,56,31
Audric Estime,RB,DEN,11776,31,373,101,-252
Marquez Valdes-Scantling,WR,SEA,5958,30,374,147,7
Jake Bobo,WR,SEA,11025,29,375,148,-3
Sterling Shepard,WR,TB,6747,28,376,149,28
Allen Lazard,WR,NYJ,5460,27,377,150,-28
Josh Oliver,TE,MIN,6868,25,378,57,25
Casey Washington,WR,ATL,12312,23,379,151,23
Tommy Tremble,TE,CAR,7388,23,380,58,-7
Elijah Higgins,TE,ARI,9825,22,381,59,22
Rondale Moore,WR,MIN,2214,19,382,152,19
Josh Reynolds,WR,NYJ,5612,17,383,153,-80
Jonathan Mingo,WR,DAL,9867,17,384,154,17
Kimani Vidal,RB,LAC,11790,16,385,102,-145
Hassan Haskins,RB,LAC,6101,15,386,103,15
Davis Allen,TE,LAR,9980,15,387,60,15
Trey Palmer,WR,TB,9855,14,388,155,14
Daniel Bellinger,TE,NYG,2752,13,389,61,13
Bub Means,WR,NO,11896,9,390,156,9
Tyler Badie,RB,DEN,4225,7,391,104,7
Adam Trautman,TE,DEN,1119,3,392,62,3
