player,team,year,conference,receiving_yards,receiving_tds,rushing_yards,rushing_tds,passing_yards,passing_tds,DOM,DOM+,RDOM,RDOM+,PDOM,PDOM+,elusive_rating
Brock Berlin*,Miami (FL),2003,OTHER,0.0,0.0,0.0,0.0,2419.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,
Brock Harvey*,Missouri,2003,BIG 12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Brodie Croyle,Alabama,2003,SEC,0.0,0.0,0.0,0.0,2303.0,16.0,0.0,0.0,0.0,0.0,93.29,93.29,
Brooks Turner,UCF,2003,MAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Bruce Gradkowski,Toledo,2003,MAC,0.0,0.0,0.0,0.0,3210.0,29.0,0.0,0.0,0.0,0.0,98.07,68.65,
Bryan Black,Utah State,2003,SUN BELT,0.0,0.0,0.0,0.0,71.0,1.0,0.0,0.0,0.0,0.0,3.85,2.93,
Bryan Cupito*,Minnesota,2003,BIG TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Bryan Randall*,Virginia Tech,2003,OTHER,0.0,0.0,0.0,0.0,1996.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,
Buck Pierce,New Mexico State,2003,SUN BELT,0.0,0.0,0.0,0.0,1510.0,7.0,0.0,0.0,0.0,0.0,66.74,50.72,
C.J. Leak*,Tennessee,2003,SEC,0.0,0.0,0.0,0.0,66.0,1.0,0.0,0.0,0.0,0.0,2.87,2.87,
C.J. Stephens,North Carolina,2003,ACC,0.0,0.0,0.0,0.0,186.0,1.0,0.0,0.0,0.0,0.0,5.56,5.28,
Cadillac Williams*,Auburn,2003,SEC,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.38,0.38,
Carlyle Holiday,Notre Dame,2003,INDEPENDENT,0.0,0.0,0.0,0.0,304.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Casey Bramlet,Wyoming,2003,MWC,0.0,0.0,0.0,0.0,3037.0,22.0,0.0,0.0,0.0,0.0,96.28,73.17,
Casey Clausen*,Tennessee,2003,SEC,0.0,0.0,0.0,0.0,2968.0,27.0,0.0,0.0,0.0,0.0,97.13,97.13,
Casey Kelly*,New Mexico,2003,MWC,0.0,0.0,0.0,0.0,2223.0,14.0,0.0,0.0,0.0,0.0,81.71,62.1,
Casey Paus,Washington,2003,PAC 12,0.0,0.0,0.0,0.0,151.0,2.0,0.0,0.0,0.0,0.0,8.22,7.81,
Cedric King,South Florida,2003,CUSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Cedric Stevens,Toledo,2003,MAC,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,1.93,1.35,
Cedric Washington*,Arkansas,2003,SEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Chad Breeden,UCF,2003,MAC,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,1.69,1.18,
Chad Kapanui*,Hawaii,2003,OTHER,0.0,0.0,0.0,0.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Chad Munson,Western Michigan,2003,MAC,0.0,0.0,0.0,0.0,2123.0,18.0,0.0,0.0,0.0,0.0,57.71,40.4,
Chance Harridge,Air Force,2003,MWC,0.0,0.0,0.0,0.0,995.0,6.0,0.0,0.0,0.0,0.0,77.02,58.54,
Chance Kretschmer,Nevada,2003,OTHER,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Chance Mock*,Texas,2003,BIG 12,0.0,0.0,0.0,0.0,1469.0,16.0,0.0,0.0,0.0,0.0,63.71,60.52,
Chansi Stuckey*,Clemson,2003,ACC,0.0,0.0,0.0,0.0,97.0,2.0,0.0,0.0,0.0,0.0,5.66,5.38,
Charles Gordon*,Kansas,2003,BIG 12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Charles Hales*,West Virginia,2003,OTHER,0.0,0.0,0.0,0.0,305.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,
Charlie Frye,Akron,2003,MAC,0.0,0.0,0.0,0.0,3549.0,22.0,0.0,0.0,0.0,0.0,97.5,68.25,
Charlie Whitehurst*,Clemson,2003,ACC,0.0,0.0,0.0,0.0,3561.0,21.0,0.0,0.0,0.0,0.0,93.94,89.24,
Chase Holland*,Oklahoma State,2003,BIG 12,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,
Chinedu Okoro,Eastern Michigan,2003,MAC,0.0,0.0,0.0,0.0,1360.0,6.0,0.0,0.0,0.0,0.0,74.38,52.07,
